id,file_name,source_path,jurisdiction,authority,title,relevant_law,gdpr_articles,type,outcome,started,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,original_languages,original_source,sector_type,sector_type_confidence,sector_core_activity,sector_core_activity_confidence,sector_size,sector_size_confidence
LT_1,MT_ADA_Lithuania_-_2024-02-23.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ADA_Lithuania_-_2024-02-23.md,Lithuania,ADA (Lithuania),ADA (Lithuania) - 2024-02-23,Article 6(1)(b) GDPRArticle 6(1)(f) GDPRArticle 21(1) GDPR,21,Complaint,Upheld,,23/02/2024,08/06/2024,n/a,,,n/a,2024-02-23,n/a,Lithuanian,ADA (Valstybinė duomenų apsaugos inspekcija - VDAI) (in LT),,,,,,
ES_1,MT_AEPD_Spain_-_00027-2022.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_00027-2022.md,Spain,AEPD (Spain),AEPD (Spain) - 00027-2022,Article 24(2) GDPR,24,Complaint,Rejected,,07/09/2022,,n/a,,,n/a,00027-2022,PS,Spanish,AEPD (in ES),,,,,,
ES_2,MT_AEPD_Spain_-_0098_2022.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_0098_2022.md,Spain,AEPD (Spain),AEPD (Spain) - 0098/2022,"Article 6(1)(e) GDPRArticle 9(2)(g) GDPRAct Against Violence, Racism, Xenophobia and Intolerance in Sport",,Advisory Opinion,n/a,,,20/01/2023,n/a,,,"Comisión Estatal contra la Violencia, el Racismo, la Xenofobia y la Intolerancia",0098/2022,n/a,Spanish,AEPD (in ES),GOV,95,O84.24 (Public order and safety activities),90,LARGE,60
ES_3,MT_AEPD_Spain_-_AEPD_-_EXP202414290.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_AEPD_-_EXP202414290.md,Spain,AEPD (Spain),AEPD (Spain) - AEPD - EXP202414290,Article 5(1)(f) GDPRArticle 83(2)(a) GDPRArticle 83(2)(b) GDPRArticle 83(2)(k) GDPRArticle 83(5)(a) GDPRArticle 71 LOPDGDDArticle 76(2)(b) LOPDGDDArticle 85(3) LPACAP,,Complaint,Upheld,07/10/2024,18/03/2025,01/04/2025,"21,000 EUR",21000,EUR,"Alvea Soluciones Tecnológicas, S.L",AEPD - EXP202414290,n/a,Spanish,https://www.aepd.es/ (in ES),PRIVATE,95,J62.01 (Computer programming activities),75,SMALL OR MEDIUM,65
ES_4,MT_AEPD_Spain_-_A_00291_2017.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_A_00291_2017.md,Spain,AEPD (Spain),AEPD (Spain) - A/00291/2017,Article 6(1)(a) GDPRArticle 7 GDPR,7,Complaint,Upheld,19/06/2017,,19/10/2022,n/a,,,n/a,A/00291/2017,n/a,Spanish,AEPD (in ES),,,,,,
ES_5,MT_AEPD_Spain_-_EXP202100282.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202100282.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202100282,Article 6(1) GDPR,6,Complaint,Upheld,,,08/12/2021,40000 EUR,40000,EUR,"NBQ TECHNOLOGY, S.A.U.",PS-00487-2021,n/a,Spanish,AEPD (in ES),PRIVATE,95,J62.09 (Other information technology and computer service activities),55,SMALL OR MEDIUM,60
ES_6,MT_AEPD_Spain_-_EXP202100300.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202100300.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202100300,Article 16 GDPR,16,Complaint,Rejected,,,18/11/2021,None,,,n/a,TD-00245-2021 - R/00824/2021,n/a,Spanish,AEPD (in ES),,,,,,
ES_7,MT_AEPD_Spain_-_EXP202100318.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202100318.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202100318,Article 5(1)(f) GDPRArticle 32 GDPR,32,Investigation,Violation Found,,16/03/2024,,"145,000 EUR",145000,EUR,"AFIANZA ASESORES, S.L.",EXP202100318,n/a,Spanish,AEPD (in ES),PRIVATE,95,"M69.20 (Accounting, bookkeeping and auditing; tax consultancy)",85,SMALL OR MEDIUM,70
ES_8,MT_AEPD_Spain_-_EXP202100603.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202100603.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202100603,Article 4(14) GDPRArticle 6(1) GDPRArticle 9 GDPRArticle 35 GDPR,"4,6,9,35",Complaint,Upheld,21/09/2021,,,"200,000 EUR",200000,EUR,GSMA LTD,EXP202100603,n/a,Spanish,AEPD (in ES),OTHER,95,TRADE ASSOCIATION,90,VERY LARGE,80
ES_9,MT_AEPD_Spain_-_EXP202100639.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202100639.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202100639,Article 5(1)(c) GDPRArticle 13 GDPR,13,Investigation,Violation Found,15/07/2021,,08/04/2022,1500 EUR,1500,EUR,n/a,PS/00484/2021 - EXP202100639,n/a,Spanish,AEPD (in ES),,,,,,
