id,file_name,source_path,jurisdiction,court,title,relevant_law,gdpr_articles,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,appeal_from,appeal_to,original_languages,original_source
NL_1,MT_ABRvS_-_202202760_1_A3.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ABRvS_-_202202760_1_A3.md,Netherlands,ABRvS (Netherlands),ABRvS - 202202760/1/A3,Article 15 GDPRArticle 6(1) ECHR (right to a fair hearing within a reasonable time),15,02/07/2025,,,,,Appellant A and Appellant B (residents of Almere) versus College van burgemeester en wethouders van Almere (Municipal Executive of Almere),202202760/1/A3,ECLI:NL:RVS:2025:2997,District Court Midden-Nederland20/1726,Unknown,Dutch,De Rechtspraak (in Dutch)
SE_1,MT_AD_-_AD_2021_nr_23.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AD_-_AD_2021_nr_23.md,Sweden,AD (Sweden),AD - AD 2021 nr 23,"Article 6(1)(c) GDPRChaper 2, § 1 GDPR-implementation act",,20/09/2020,26/05/2021,,,,Fiedler & Lundgren ABSwedish Food Workers’ UnionThe Swedish Food Federation,AD 2021 nr 23,,,,Swedish,Decision (in Swedish)
DE_1,MT_AG_Diez_8_C_130_18_7.11.2018.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Diez_8_C_130_18_7.11.2018.md,Germany,AG Diez (Germany),AG Diez 8 C 130/18 7.11.2018,Article 6 GDPRArticle 82 GDPR,"6,82",07/11/2018,,,,,,8 C 130/18,,,,German,openjur.de (in German)
DE_2,MT_AG_Düsseldorf_-_2_Ca_4416_23.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Düsseldorf_-_2_Ca_4416_23.md,Germany,AG Düsseldorf (Germany),AG Düsseldorf - 2 Ca 4416/23,Article 15 GDPRArticle 82(1) GDPR,"15,82",15/02/2024,08/05/2024,,,,AB,2 Ca 4416/23,ECLI:DE:ARBGD:2024:0215.2CA4416.23.00,,Pending appealLAG Düsseldorf (Germany)4 SLa 235/24,German,Justiz NRW (in German)
DE_3,MT_AG_Düsseldorf_-_51_C_206_23.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Düsseldorf_-_51_C_206_23.md,Germany,AG Düsseldorf (Germany),AG Düsseldorf - 51 C 206/23,Article 12 GDPRArticle 12(6) GDPRArticle 15(1) GDPRArticle 15(2) GDPRArticle 15(3) GDPRArticle 82(1) GDPR,"12,15,82",17/08/2023,24/08/2023,,,,,51 C 206/23,ecli:DE:AGD:2023:0824.51C206.23.00,,Unknown,German,Justiz (in German)
DE_4,MT_AG_Frankfurt_am_Main_-_30087_C_102_24.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Frankfurt_am_Main_-_30087_C_102_24.md,Germany,AG Frankfurt am Main (Germany),AG Frankfurt am Main - 30087 C 102/24,Article 15 GDPR,15,08/05/2025,05/08/2025,,,,,30087 C 102/24,ECLI:DE:AGFFM:2025:0508.30087C102.24.00,,Unknown,German,Hessenrecht (in German)
DE_5,MT_AG_Frankfurt_am_Main_-_31_C_2043_22_78.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Frankfurt_am_Main_-_31_C_2043_22_78.md,Germany,AG Frankfurt am Main (Germany),AG Frankfurt am Main - 31 C 2043/22 (78),Article 4 GDPRArticle 15(3) GDPRArticle 15(4) GDPR,"4,15",14/03/2023,,,,,,31 C 2043/22 (78),ECLI:DE:AGFFM:2023:0314.31C2043.22.78.00,,Unknown,German,Citizen Service Hessenrecht (in German)
DE_6,MT_AG_Hamburg-Bergedorf_-_410d_C_197_20.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Hamburg-Bergedorf_-_410d_C_197_20.md,Germany,AG Hamburg-Bergedorf (Germany),AG Hamburg-Bergedorf - 410d C 197/20,Article 6(1) GDPRArticle 82(1) GDPRArticle 83(2) GDPRArticle 2(a) Directive 2006/114§ 253 BGB§ 823(1) BGB§ 1004(1)(2) BGB,"6,82,83",07/12/2020,,,,,,410d C 197/20,,,Unknown,German,Landesrecht-Hamburg (in German)
DE_7,MT_AG_Lörrach_-_3_C_112_24.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Lörrach_-_3_C_112_24.md,Germany,AG Lörrach (Germany),AG Lörrach - 3 C 112/24,Article 6(1)(a) GDPRArticle 82(1) GDPR§ 253 ZPO§ 812(1) BGB,82,28/10/2024,,,,,,3 C 112/24,ECLI:DE:AGLOERR:2024:1028.3C112.24.00,,Unknown,German,Landesrecht BW (in German)
DE_8,MT_AG_Lörrach_-_3_C_29_23.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Lörrach_-_3_C_29_23.md,Germany,AG Lörrach (Germany),AG Lörrach - 3 C 29/23,Article 15(1) GDPR,15,20/12/2024,,,,,,3 C 29/23,ECLI:EN:AGLOERR:2024:1220.3C29.23.00,,Unknown,German,Baden-Württemberg State law BW (in German)
DE_9,MT_AG_München_-_122_C_11829_24.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_München_-_122_C_11829_24.md,Germany,AG München (Germany),AG München - 122 C 11829/24,Article 5(1)(a) GDPRArticle 82(1) GDPR,82,13/02/2025,,,,,Facebook,122 C 11829/24,,,,German,AG Munich (in German)
DE_10,MT_AG_München_-_178_C_13527_22.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_München_-_178_C_13527_22.md,Germany,AG München (Germany),AG München - 178 C 13527/22,Article 82 GDPR,82,08/02/2023,,,,,Facebook,178 C 13527/22,,,Unknown,German,AG München (Germany) (in German)
DE_11,MT_AG_München_-_322_C_3109_23_2.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_München_-_322_C_3109_23_2.md,Germany,AG München (Germany),AG München - 322 C 3109/23 (2),Article 6(1)(f) GDPRArticle 17(1)(a) GDPRArticle 17(1)(d) GDPR,,26/07/2023,,,,,,322 C 3109/23 (2),ECLI:DE:AGMUENC:2023:0726.322C3109.23.2.0A,,Not appealed,German,Bayerische Staatskanzlei (in German)
DE_12,MT_AG_Pankow_-_4_C_199_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Pankow_-_4_C_199_21.md,Germany,AG Pankow (Germany),AG Pankow - 4 C 199/21,Article 15 GDPRArticle 18(1)(c) GDPR§ 275(2) BGB,15,28/03/2022,,,,,Paul StrobachS-Bahn Berlin GmbH,4 C 199/21,,,PendingLG Berlin (Germany),German,Rewis (in German)
DE_13,MT_AG_Pfaffenhofen_a._d._Ilm_-_2_C_133_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Pfaffenhofen_a._d._Ilm_-_2_C_133_21.md,Germany,AG Pfaffenhofen a. d. Ilm (Germany),AG Pfaffenhofen a. d. Ilm - 2 C 133/21,Article 6(1)(a) GDPRArticle 6(1)(f) GDPRArticle 6(1) GDPRArticle 14 GDPRArticle 14(2)(f) GDPRArticle 15 GDPRArticle 15(1)(g) GDPRArticle 82 GDPR§ 7 (2) UWG,"6,14,15,82",09/09/2021,,,,,,2 C 133/21,,,Unknown,German,Bayern.Recht (in German)
DE_14,MT_AG_Pforzheim_-_4_C_1845_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Pforzheim_-_4_C_1845_21.md,Germany,AG Pforzheim (Germany),AG Pforzheim - 4 C 1845/21,Article 12(5) GDPRArticle 15 GDPR,"12,15",05/08/2022,05/08/2022,,,,,4 C 1845/21,ECLI:DE:AGPFORZ:2022:0805.4C1845.21.00,,,German,beck-online (subscriber access only) (in German)
DE_15,MT_AG_Singen_Hohentwiel_-_11_C_157_24.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Singen_Hohentwiel_-_11_C_157_24.md,Germany,AG Singen (Hohentwiel) (Germany),AG Singen (Hohentwiel) - 11 C 157/24,Article 6(1)(f) GDPRArticle 82(1) GDPR,82,16/07/2025,,,,,,11 C 157/24,,,Unknown,German,AG Singen (in German)
DE_16,MT_AG_Wesel_-_30_C_138_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AG_Wesel_-_30_C_138_21.md,Germany,AG Wesel (Germany),AG Wesel - 30 C 138/21,Article 5(1)(d) GDPRArticle 82(1) GDPR,82,23/07/2025,,,,,,30 C 138/21,,,,German,AG Wesel (in German)
ES_1,MT_AN_-_0000104_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AN_-_0000104_2021.md,Spain,AN (Spain),AN - 0000104/2021,Article 57(1)(f) GDPR,,23/12/2022,,,,,BBVAAEPD,0000104/2021,ECLI:ES:AN:2022:6460,AEPD (Spain)PS/00070/2019,Unknown,Spanish,Audiencia Nacional (in Spanish)
ES_2,MT_AN_-_2185_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AN_-_2185_2021.md,Spain,AN (Spain),AN - 2185/2021,"Article 3(2)(b) GDPRLey 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-administrativa",,27/06/2024,,,,,AEPD,2185/2021 (Appeal number - Número de Recurso),,AEPD (Spain)E/04461/2021,Unknown,Spanish,Audiencia Nacional - Sala de lo Contencioso-Administrativo (in Spanish)
ES_3,MT_AN_-_2967_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AN_-_2967_2021.md,Spain,AN (Spain),AN - 2967/2021,Article 6(1)(f) GDPRArticle 83(5) GDPR,83,02/07/2021,22/07/2021,,,,EQUIFAX IBERICA S.L.,2967/2021,ECLI:ES:AN:2021:2967,AEPD (Spain)PS/00451/2019,,Spanish,CENDOJ (in Spanish)
