case_url,page_title,article_label,article,paragraph,letter,article_category
https://gdprhub.eu/index.php?title=BVwG_-_W108_2263948-1/4E,BVwG - W108 2263948-1/4E,1,1,,,Article 1 GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W176_2255954-1,BVwG - W176 2255954-1,1,1,,,Article 1 GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W274_2224363-1,BVwG - W274 2224363-1,1,1,,,Article 1 GDPR
https://gdprhub.eu/index.php?title=CJEU_-_C-620/19_-_J_%26_S_Service,CJEU - C-620/19 - J & S Service,1,1,,,Article 1 GDPR
https://gdprhub.eu/index.php?title=GHDHA_-_C/09/574422_/_HA_RK_19-368,GHDHA - C/09/574422 / HA RK 19-368,1,1,,,Article 1 GDPR
https://gdprhub.eu/index.php?title=DSB_(Austria)_-_D123.921/0005-DSB/2019,DSB (Austria) - D123.921/0005-DSB/2019,1(2),1,2,,Article 1(2) GDPR
https://gdprhub.eu/index.php?title=Tietosuojavaltuutetun_toimisto_(Finland)_-_1150/161/2021,Tietosuojavaltuutetun toimisto (Finland) - 1150/161/2021,1(2),1,2,,Article 1(2) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202405048,AEPD (Spain) - EXP202405048,10,10,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00267/2020,AEPD (Spain) - PS/00267/2020,10,10,,,Article 6(1) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_02/2025,APD/GBA (Belgium) - 02/2025,10,10,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=APDCAT_(Catalonia)_-_IAI_68/2021_-_IAI_71/2021,APDCAT (Catalonia) - IAI 68/2021 - IAI 71/2021,10,10,,,Article 9 GDPR
https://gdprhub.eu/index.php?title=CJEU_-_C-136/17_-_GC_and_Others_(De-referencing_of_sensitive_data),CJEU - C-136/17 - GC and Others (De-referencing of sensitive data),10,10,,,Article 9(1) GDPR
https://gdprhub.eu/index.php?title=CJEU_-_C-439/19_-_Latvijas_Republikas_Saeima_(Penalty_points),CJEU - C-439/19 - Latvijas Republikas Saeima (Penalty points),10,10,,,Article 2(2)(a) GDPR
https://gdprhub.eu/index.php?title=CJEU_-_C-740/22_-_Endemol_Shine_Finland,CJEU - C-740/22 - Endemol Shine Finland,10,10,,,Article 2(1) GDPR
https://gdprhub.eu/index.php?title=CJEU_-_C%E2%80%91769/22_-_European_Commission_v_Hungary,CJEU - C‑769/22 - European Commission v Hungary,10,10,,,Article 10 GDPR
https://gdprhub.eu/index.php?title=Datainspektionen_-_DI-2018-9274,Datainspektionen - DI-2018-9274,10,10,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=Datatilsynet_(Denmark)_-_2022-32-2939,Datatilsynet (Denmark) - 2022-32-2939,10,10,,,Article 5(1)(b) GDPR
https://gdprhub.eu/index.php?title=Datatilsynet_(Denmark)_-_2023-832-0081,Datatilsynet (Denmark) - 2023-832-0081,10,10,,,Article 10 GDPR
https://gdprhub.eu/index.php?title=Datatilsynet_(Norway)_-_20/02059,Datatilsynet (Norway) - 20/02059,10,10,,,Article 5(1)(d) GDPR
https://gdprhub.eu/index.php?title=GHARL_-_200.186.790/01,GHARL - 200.186.790/01,10,10,,,Article 6(1)(b) GDPR
https://gdprhub.eu/index.php?title=GHARL_-_200.307.462,GHARL - 200.307.462,10,10,,,Article 10 GDPR
https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_10077129,Garante per la protezione dei dati personali (Italy) - 10077129,10,10,,,Article 6(1)(f) GDPR
https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_10153347,Garante per la protezione dei dati personali (Italy) - 10153347,10,10,,,Article 5(1)(a) GDPR&pagefrom=DSB+(Austria)+-+2020-0.550.322#mw-pages
https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_9761383,Garante per la protezione dei dati personali (Italy) - 9761383,10,10,,,Article 5(1) GDPR
https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_9938413,Garante per la protezione dei dati personali (Italy) - 9938413,10,10,,,Article 5(1)(a) GDPR&pagefrom=DSB+(Austria)+-+2020-0.550.322#mw-pages
