file_name,source_path,category,jurisdiction,entity_name,title,authority,court,relevant_law,gdpr_articles,type,outcome,started,decided,published,fine,parties,national_case_number_name,european_case_law_identifier,appeal,appeal_from,appeal_to,original_languages,original_source
MT_AEPD_Spain_-_EXP202303130.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202303130.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - EXP202303130,AEPD (Spain),,Article 5(1)(f) GDPRArticle 32 GDPR,32,Complaint,Upheld,2023-01-25,,2023-10-10,n/a,A.A.AZaragoza City Council,EXP202303130,n/a,Unknown,,,Spanish,AEPD (in ES)
MT_CNPD_Luxembourg_-_Délibération_n24FR_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_CNPD_Luxembourg_-_Délibération_n24FR_2021.md,authorities,Luxembourg,CNPD (Luxembourg),CNPD (Luxembourg) - Délibération n°24FR/2021,CNPD (Luxembourg),,Article 5(1)(c) GDPRArticle 13 GDPR,13,Investigation,Violation Found,,2021-06-29,2021-07-13,12500 EUR,n/a,Délibération n°24FR/2021,n/a,n/a,,,French,CNPD (in FR)
MT_DPC_Ireland_-_Inquiry_into_Apple_Distribution_International_Limited_-_March_2024.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_DPC_Ireland_-_Inquiry_into_Apple_Distribution_International_Limited_-_March_2024.md,authorities,Ireland,DPC (Ireland),DPC (Ireland) - Inquiry into Apple Distribution International Limited - March 2024,DPC (Ireland),,Article 6(1)(f) GDPRArticle 12(1) GDPRArticle 13(1) GDPRArticle 17(1) GDPR,"12,13,17",Complaint,Partly Upheld,2021-10-25,2024-03-07,,n/a,n/a,Inquiry into Apple Distribution International Limited - March 2024,n/a,Unknown,,,English,DPC (in EN)
MT_SO_w_Warszawie_-_XXV_C_2596_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_SO_w_Warszawie_-_XXV_C_2596_19.md,courts,Poland,SO Warszawa (Poland),SO w Warszawie - XXV C 2596/19,,SO Warszawa (Poland),Article 5(1)(c) GDPRArticle 82 GDPR,82,,,,2020-08-06,2020-08-06,,,XXV C 2596/19,,,,Unknown,Polish,Portal Orzeczeń Sądów Powszechnych (in Polish)
MT_CNIL_France_-_SAN-2019-005.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_CNIL_France_-_SAN-2019-005.md,authorities,France,CNIL (France),CNIL (France) - SAN-2019-005,CNIL (France),,Article 5(1)(e) GDPRArticle 32(1) GDPRArticle 32(2) GDPR,32,Complaint,Upheld,,2019-05-28,2019-06-06,"400,000 EUR",SERGIC SAS,SAN-2019-005,n/a,Unknown,,,French,Legifrance (in FR)
MT_APD_GBA_Belgium_-_25_2020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_APD_GBA_Belgium_-_25_2020.md,authorities,Belgium,APD/GBA (Belgium),APD/GBA (Belgium) - 25/2020,APD/GBA (Belgium),,Article 5 GDPRArticle 6 GDPRArticle 7 GDPRArticle 30 GDPRArticle 37 GDPRArticle 38 GDPR,"5,6,7,30,37,38",Complaint,Upheld,,2020-05-14,2020-05-14,50000 EUR,n/a,25/2020,n/a,Unknown,,,English,Belgian DPA (in EN)
MT_ICO_UK_-_Tempcover_Ltd.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ICO_UK_-_Tempcover_Ltd.md,authorities,United Kingdom,ICO (UK),ICO (UK) - Tempcover Ltd,ICO (UK),,Article 4(11) GDPRData Protection Act 1998Privacy and Electronic Communications (EC Directive) Regulations 2003,4,Investigation,Violation Found,,2022-02-07,2022-02-09,"85,000 GBP",Tempcover Ltd,Tempcover Ltd,n/a,n/a,,,English,ICO (in EN)
MT_Rb._Amsterdam_-_C_13_747731.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Rb._Amsterdam_-_C_13_747731.md,courts,Netherlands,Rb. Amsterdam (Netherlands),Rb. Amsterdam - C/13/747731,,Rb. Amsterdam (Netherlands),Article 6 GDPRArticle 26(3) GDPRArticle 7(2) Brussels I bis RegulationArticle 8(1) Brussels I bis RegulationArticle 11.7a of the Dutch Telecommunications act,"6,26",,,,2024-06-07,2024-06-12,,LinkedinMicrosoftXandr,C/13/747731,ECLI:NL:RBAMS:2024:3331,,,Unknown,Dutch,Rechtbank Amsterdam (in Dutch)
MT_Korkein_hallinto-oikeus_Finland_-_KHO_2021_125.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Korkein_hallinto-oikeus_Finland_-_KHO_2021_125.md,courts,Finland,Korkein hallinto-oikeus (Finland),Korkein hallinto-oikeus (Finland) - KHO:2021:125,,Korkein hallinto-oikeus (Finland),Article 51 GDPRArticle 52 GDPRArticle 53 GDPRArticle 54(1) GDPRArticle 47 CFRArticle 19(1) TFEU,"51,52,53,54",,,,2021-09-10,2021-09-10,,,HFD:2021:125,ECLI:FI:HFD:2021:125,,,,Swedish,Korkein hallinto-oikeus (in Swedish)
MT_HDPA_Greece_-_33_2020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_HDPA_Greece_-_33_2020.md,authorities,Greece,HDPA (Greece),HDPA (Greece) - 33/2020,HDPA (Greece),,Article 4(7) GDPRArticle 5 GDPRArticle 12 GDPRArticle 15 GDPRArticle 17 GDPRArticle 17(3)(e) GDPRArticle 23 GDPRArticle 51 GDPRArticle 55 GDPRArticle 57(1)(f) GDPRArticle 58 GDPRArticle 83 GDPRArticle 8(1) Charter of Fundamental Rights of the EUARTICLE 29 Working Party's Guidelines on the application and setting of administrative fines (wp253)Articles 250-253 Civil Law CodeArticle 95 Law 4387/2016Article 9 Law 4624/2019Article 13(1)g Law 4624/2019Article 15 Law 4624/2019Article 9Α Greek ConstitutionArticle 33 Law 4624/2019HDPA Decision 73/2010HDPA Decision 4/2005HDPA Decision 39/2005HDPA Decision 4/2003HDPA Decision 43/2003Article 5 Law 2472/1997HDPA Opinion 4/2009HDPA Opinion 6/2013HDPA Decision 8/2019Article 13(2) Law 2472/1997Article 34 Law 4624/2019,"4,5,12,15,17,23,51,55,58,83",Complaint,Partly Upheld,,,2020-10-29,2000 EUR,American College of Greece,33/2020,n/a,n/a,,,Greek,HDPA (in EL)
